ID,Tipo,COD,Nome,Pubblicato,In primo piano?,Visibilità nel catalogo,Breve descrizione,Descrizione,Data di partenza del prezzo in saldo,Data in cui termina l'offerta,Stato delle imposte,Aliquota di imposta,In stock?,Magazzino,Quantità in magazzino bassa,Abilita gli ordini arretrati?,Venduto singolarmente?,Peso (kg),Lunghezza (cm),Larghezza (cm),Altezza (cm),Permetti le recensioni clienti?,Nota di acquisto,Prezzo in offerta,Prezzo di listino,Categorie,Tag,Classe di spedizione,Immagine,Limite di download,Scarica i giorni di scadenza,Genitore,Prodotti raggruppati,Up-sell,Cross-sell,URL esterna,Testo del pulsante,Posizione,Variation Gallery,Swatches Attributes,Attributo 1 nome,Attributo 1 valuta(e),Attributo 1 visibile,Attributo 1 globale,Attributo 2 nome,Attributo 2 valuta(e),Attributo 2 visibile,Attributo 2 globale,Attributo 3 nome,Attributo 3 valuta(e),Attributo 3 visibile,Attributo 3 globale,Attributo 4 nome,Attributo 4 valuta(e),Attributo 4 visibile,Attributo 4 globale,Attributo 5 nome,Attributo 5 valuta(e),Attributo 5 visibile,Attributo 5 globale,Attributo 6 nome,Attributo 6 valuta(e),Attributo 6 visibile,Attributo 6 globale,Attributo 7 nome,Attributo 7 valuta(e),Attributo 7 visibile,Attributo 7 globale,Attributo 8 nome,Attributo 8 valuta(e),Attributo 8 visibile,Attributo 8 globale,Attributo 9 nome,Attributo 9 valuta(e),Attributo 9 visibile,Attributo 9 globale,Attributo 10 nome,Attributo 10 valuta(e),Attributo 10 visibile,Attributo 10 globale,Attributo 11 nome,Attributo 11 valuta(e),Attributo 11 visibile,Attributo 11 globale,Attributo 12 nome,Attributo 12 valuta(e),Attributo 12 visibile,Attributo 12 globale,Attributo 13 nome,Attributo 13 valuta(e),Attributo 13 visibile,Attributo 13 globale,Attributo 14 nome,Attributo 14 valuta(e),Attributo 14 visibile,Attributo 14 globale

4320,simple,,JUMPOO 2203,1,1,visible,"<p class=""p1""><span class=""s1"">Salta fino al cielo!</span></p>
\n<p class=""p1""><span class=""s1"">Saltare sui trampolini è divertente, ma anche un ottimo allenamento! Ti permette di rafforzare i muscoli, migliorare la forma fisica e la coordinazione, e allo stesso tempo ridurre lo stress e la tensione, permettendoti di rilassarti.</span></p>
\n<p class=""p1""><span class=""s1"">I nostri trampolini sono disponibili in vari colori e grazie alla struttura speciale degli elementi, consentono qualsiasi combinazione di forme.</span></p>","<strong>Specifiche del materiale</strong>
\n<ul>
\n 	<li>Telaio realizzato in acciaio speciale zincato a caldo</li>
\n 	<li>per l'installazione al di sotto del livello del suolo,</li>
\n 	<li>La rete rinforzata del materiale della cintura presenta un elevato livello di sicurezza contro il vandalismo,</li>
\n</ul>
\n<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>Attrezzatura sportiva;</li>
\n 	<li>l'attrezzatura ha un certificato rilasciato da un ente accreditato o una dichiarazione di conformità;</li>
\n 	<li>nessun bordo tagliente o fessura che possa rappresentare un pericolo di incastrare la testa, le dita o qualsiasi altra parte del corpo;</li>
\n 	<li>l'immagine è solo a scopo illustrativo, l'aspetto effettivo dell'attrezzatura e il suo colore possono variare;</li>
\n</ul>",,,,,,,,0,0,,,,,0,,,,"Giochi per parchi, Giochi per parchi > Trampolini > Jumpoo, Giochi per parchi > Trampolini",Vinci Play,,https://www.play-lab.it/wp-content/uploads/2023/12/2203-2207.jpg,,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,200 cm,1,1,Larghezza,200 cm,1,1,Altezza Totale,5 cm,1,1,Età,,1,1,Numero di Utenti,,1,1,Zona di Sicurezza,"23\,2 m2",1,1,Altezza di Caduta Libera,90 cm,1,1,In conformità alla norma EN,,1,1,,,1,1,Dimensioni delle parti,,1,1,,,1,1,Tempo di installazione,8 ore,1,1,Disponibilità di ricambi,YES,1,1,,,,

4321,simple,,JUMPOO 2211,1,1,visible,"<p class=""p1""><span class=""s1"">Salta fino al cielo!</span></p>
\n<p class=""p1""><span class=""s1"">Saltare sui trampolini è divertente, ma anche un ottimo allenamento! Ti permette di rafforzare i muscoli, migliorare la forma fisica e la coordinazione, e allo stesso tempo ridurre lo stress e la tensione, permettendoti di rilassarti.</span></p>
\n<p class=""p1""><span class=""s1"">I nostri trampolini sono disponibili in vari colori e grazie alla struttura speciale degli elementi, consentono qualsiasi combinazione di forme.</span></p>","<strong>Specifiche del materiale</strong>
\n<ul>
\n 	<li>Telaio realizzato in acciaio speciale zincato a caldo</li>
\n 	<li>per l'installazione al di sotto del livello del suolo,</li>
\n 	<li>La rete rinforzata del materiale della cintura presenta un elevato livello di sicurezza contro il vandalismo,</li>
\n</ul>
\n<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>Attrezzatura sportiva;</li>
\n 	<li>l'attrezzatura ha un certificato rilasciato da un ente accreditato o una dichiarazione di conformità;</li>
\n 	<li>nessun bordo tagliente o fessura che possa rappresentare un pericolo di incastrare la testa, le dita o qualsiasi altra parte del corpo;</li>
\n 	<li>l'immagine è solo a scopo illustrativo, l'aspetto effettivo dell'attrezzatura e il suo colore possono variare;</li>
\n</ul>",,,,,,,,0,0,,,,,0,,,,"Giochi per parchi, Giochi per parchi > Trampolini > Jumpoo, Giochi per parchi > Trampolini",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2023/12/d7e1-2211c11s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/2fca-22111s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/6dad-2211c31s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/6910-2211c41s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/7221-2211c121s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/c3be-2211c13c1s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,150 cm,1,1,Larghezza,150 cm,1,1,,,1,1,Età,4 - 15 years,1,1,Numero di Utenti,1 kids,1,1,Zona di Sicurezza,"12\,6 m2",1,1,Altezza di Caduta Libera,90 cm,1,1,In conformità alla norma EN,1176-1:2017,1,1,,110 kg,1,1,Dimensioni delle parti,150x150x31 cm,1,1,,,1,1,Tempo di installazione,12 ore,1,1,Disponibilità di ricambi,YES,1,1,,,,

4322,simple,,JUMPOO 2212,1,1,visible,"<p class=""p1""><span class=""s1"">Salta fino al cielo!</span></p>
\n<p class=""p1""><span class=""s1"">Saltare sui trampolini è divertente, ma anche un ottimo allenamento! Ti permette di rafforzare i muscoli, migliorare la forma fisica e la coordinazione, e allo stesso tempo ridurre lo stress e la tensione, permettendoti di rilassarti.</span></p>
\n<p class=""p1""><span class=""s1"">I nostri trampolini sono disponibili in vari colori e grazie alla struttura speciale degli elementi, consentono qualsiasi combinazione di forme.</span></p>","<strong>Specifiche del materiale</strong>
\n<ul>
\n 	<li>Telaio realizzato in acciaio speciale zincato a caldo</li>
\n 	<li>per l'installazione al di sotto del livello del suolo,</li>
\n 	<li>La rete rinforzata del materiale della cintura presenta un elevato livello di sicurezza contro il vandalismo,</li>
\n</ul>
\n<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>Attrezzatura sportiva;</li>
\n 	<li>l'attrezzatura ha un certificato rilasciato da un ente accreditato o una dichiarazione di conformità;</li>
\n 	<li>nessun bordo tagliente o fessura che possa rappresentare un pericolo di incastrare la testa, le dita o qualsiasi altra parte del corpo;</li>
\n 	<li>l'immagine è solo a scopo illustrativo, l'aspetto effettivo dell'attrezzatura e il suo colore possono variare;</li>
\n</ul>",,,,,,,,0,0,,,,,0,,,,"Giochi per parchi, Giochi per parchi > Trampolini > Jumpoo, Giochi per parchi > Trampolini",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2023/12/ce4b-22121s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/0e45-2212c21s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/848d-2212c31s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/3fe4-2212c41s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/711c-2212c121s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/5e9e-2212c131s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,150 cm,1,1,Larghezza,150 cm,1,1,,,1,1,Età,4 - 15 years,1,1,Numero di Utenti,1 kids,1,1,Zona di Sicurezza,"14\,1 m2",1,1,Altezza di Caduta Libera,90 cm,1,1,In conformità alla norma EN,1176-1:2017,1,1,,104 kg,1,1,Dimensioni delle parti,150x150x31 cm,1,1,,,1,1,Tempo di installazione,18 ore,1,1,Disponibilità di ricambi,YES,1,1,,,,

4323,simple,,JUMPOO 2213,1,1,visible,"<p class=""p1""><span class=""s1"">Salta fino al cielo!</span></p>
\n<p class=""p1""><span class=""s1"">Saltare sui trampolini è divertente, ma anche un ottimo allenamento! Ti permette di rafforzare i muscoli, migliorare la forma fisica e la coordinazione, e allo stesso tempo ridurre lo stress e la tensione, permettendoti di rilassarti.</span></p>
\n<p class=""p1""><span class=""s1"">I nostri trampolini sono disponibili in vari colori e grazie alla struttura speciale degli elementi, consentono qualsiasi combinazione di forme.</span></p>","<strong>Specifiche del materiale</strong>
\n<ul>
\n 	<li>Telaio realizzato in acciaio speciale zincato a caldo</li>
\n 	<li>per l'installazione al di sotto del livello del suolo,</li>
\n 	<li>La rete rinforzata del materiale della cintura presenta un elevato livello di sicurezza contro il vandalismo,</li>
\n</ul>
\n<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>Attrezzatura sportiva;</li>
\n 	<li>l'attrezzatura ha un certificato rilasciato da un ente accreditato o una dichiarazione di conformità;</li>
\n 	<li>nessun bordo tagliente o fessura che possa rappresentare un pericolo di incastrare la testa, le dita o qualsiasi altra parte del corpo;</li>
\n 	<li>l'immagine è solo a scopo illustrativo, l'aspetto effettivo dell'attrezzatura e il suo colore possono variare;</li>
\n</ul>",,,,,,,,0,0,,,,,0,,,,"Giochi per parchi, Giochi per parchi > Trampolini > Jumpoo, Giochi per parchi > Trampolini",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2023/12/2dec-2213c11s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/8dc7-2213c21s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/5777-2213c31s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/8139-22131s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/749e-2213c121s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/04b3-2213c131s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,200 cm,1,1,Larghezza,200 cm,1,1,,,1,1,Età,4 - 15 years,1,1,Numero di Utenti,1 kids,1,1,Zona di Sicurezza,"26\,8 m2",1,1,Altezza di Caduta Libera,90 cm,1,1,In conformità alla norma EN,1176-1:2017,1,1,,162 kg,1,1,Dimensioni delle parti,200x200x31 cm,1,1,,,1,1,Tempo di installazione,,1,1,Disponibilità di ricambi,YES,1,1,,,,

4324,simple,,JUMPOO 2214,1,1,visible,"<p class=""p1""><span class=""s1"">Salta fino al cielo!</span></p>
\n<p class=""p1""><span class=""s1"">Saltare sui trampolini è divertente, ma anche un ottimo allenamento! Ti permette di rafforzare i muscoli, migliorare la forma fisica e la coordinazione, e allo stesso tempo ridurre lo stress e la tensione, permettendoti di rilassarti.</span></p>
\n<p class=""p1""><span class=""s1"">I nostri trampolini sono disponibili in vari colori e grazie alla struttura speciale degli elementi, consentono qualsiasi combinazione di forme.</span></p>","<strong>Specifiche del materiale</strong>
\n<ul>
\n 	<li>Telaio realizzato in acciaio speciale zincato a caldo</li>
\n 	<li>per l'installazione al di sotto del livello del suolo,</li>
\n 	<li>La rete rinforzata del materiale della cintura presenta un elevato livello di sicurezza contro il vandalismo,</li>
\n</ul>
\n<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>Attrezzatura sportiva;</li>
\n 	<li>l'attrezzatura ha un certificato rilasciato da un ente accreditato o una dichiarazione di conformità;</li>
\n 	<li>nessun bordo tagliente o fessura che possa rappresentare un pericolo di incastrare la testa, le dita o qualsiasi altra parte del corpo;</li>
\n 	<li>l'immagine è solo a scopo illustrativo, l'aspetto effettivo dell'attrezzatura e il suo colore possono variare;</li>
\n</ul>",,,,,,,,0,0,,,,,0,,,,"Giochi per parchi, Giochi per parchi > Trampolini > Jumpoo, Giochi per parchi > Trampolini",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2023/12/fce0-22141s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/f1f3-22142s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/383c-2214c11s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/207a-2214c21s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/e461-22141s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/4b9d-2214c41s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/7c7b-2214c121s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/e8aa-2214c131s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,300 cm,1,1,Larghezza,150 cm,1,1,,,1,1,Età,4 - 15 years,1,1,Numero di Utenti,1 kids,1,1,Zona di Sicurezza,"27\,3 m2",1,1,Altezza di Caduta Libera,90 cm,1,1,In conformità alla norma EN,1176-1:2017,1,1,,203 kg,1,1,Dimensioni delle parti,300x150x31 cm,1,1,,,1,1,Tempo di installazione,,1,1,Disponibilità di ricambi,YES,1,1,,,,

4325,simple,,JUMPOO 2220,1,1,visible,"<p class=""p1""><span class=""s1"">Salta fino al cielo!</span></p>
\n<p class=""p1""><span class=""s1"">Saltare sui trampolini è divertente, ma anche un ottimo allenamento! Ti permette di rafforzare i muscoli, migliorare la forma fisica e la coordinazione, e allo stesso tempo ridurre lo stress e la tensione, permettendoti di rilassarti.</span></p>
\n<p class=""p1""><span class=""s1"">I nostri trampolini sono disponibili in vari colori e grazie alla struttura speciale degli elementi, consentono qualsiasi combinazione di forme.</span></p>","<strong>Specifiche del materiale</strong>
\n<ul>
\n 	<li>Telaio realizzato in acciaio speciale zincato a caldo</li>
\n 	<li>per l'installazione al di sotto del livello del suolo,</li>
\n 	<li>La rete rinforzata del materiale della cintura presenta un elevato livello di sicurezza contro il vandalismo,</li>
\n</ul>
\n<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>Attrezzatura sportiva;</li>
\n 	<li>l'attrezzatura ha un certificato rilasciato da un ente accreditato o una dichiarazione di conformità;</li>
\n 	<li>nessun bordo tagliente o fessura che possa rappresentare un pericolo di incastrare la testa, le dita o qualsiasi altra parte del corpo;</li>
\n 	<li>l'immagine è solo a scopo illustrativo, l'aspetto effettivo dell'attrezzatura e il suo colore possono variare;</li>
\n</ul>",,,,,,,,0,0,,,,,0,,,,"Giochi per parchi, Giochi per parchi > Trampolini > Jumpoo, Giochi per parchi > Trampolini",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2023/12/453b-22201s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/1e07-2220c11s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/286c-2220c21s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/f91d-2220c31s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/cb62-2220c41s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/db9d-2220c121s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/dc05-2220c131s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,300 cm,1,1,Larghezza,300 cm,1,1,,,1,1,Età,4 - 15 years,1,1,Numero di Utenti,4 kids,1,1,Zona di Sicurezza,"38\,9 m2",1,1,Altezza di Caduta Libera,90 cm,1,1,In conformità alla norma EN,1176-1:2017,1,1,,104 kg,1,1,Dimensioni delle parti,150x150x31 cm,1,1,,,1,1,Tempo di installazione,,1,1,Disponibilità di ricambi,YES,1,1,,,,

4326,simple,,JUMPOO 2221,1,1,visible,"<p class=""p1""><span class=""s1"">Salta fino al cielo!</span></p>
\n<p class=""p1""><span class=""s1"">Saltare sui trampolini è divertente, ma anche un ottimo allenamento! Ti permette di rafforzare i muscoli, migliorare la forma fisica e la coordinazione, e allo stesso tempo ridurre lo stress e la tensione, permettendoti di rilassarti.</span></p>
\n<p class=""p1""><span class=""s1"">I nostri trampolini sono disponibili in vari colori e grazie alla struttura speciale degli elementi, consentono qualsiasi combinazione di forme.</span></p>","<strong>Specifiche del materiale</strong>
\n<ul>
\n 	<li>Telaio realizzato in acciaio speciale zincato a caldo</li>
\n 	<li>per l'installazione al di sotto del livello del suolo,</li>
\n 	<li>La rete rinforzata del materiale della cintura presenta un elevato livello di sicurezza contro il vandalismo,</li>
\n</ul>
\n<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>Attrezzatura sportiva;</li>
\n 	<li>l'attrezzatura ha un certificato rilasciato da un ente accreditato o una dichiarazione di conformità;</li>
\n 	<li>nessun bordo tagliente o fessura che possa rappresentare un pericolo di incastrare la testa, le dita o qualsiasi altra parte del corpo;</li>
\n 	<li>l'immagine è solo a scopo illustrativo, l'aspetto effettivo dell'attrezzatura e il suo colore possono variare;</li>
\n</ul>",,,,,,,,0,0,,,,,0,,,,"Giochi per parchi, Giochi per parchi > Trampolini > Jumpoo, Giochi per parchi > Trampolini",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2023/12/7c9a-22141s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/0405-2214c11s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/4f84-2214c21s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/2214c31s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/7841-2214c41s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/6235-2214c121s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/94fe-2214c131s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,375 cm,1,1,Larghezza,375 cm,1,1,,,1,1,Età,4 - 15 years,1,1,Numero di Utenti,4 kids,1,1,Zona di Sicurezza,"41\,2 m2",1,1,Altezza di Caduta Libera,90 cm,1,1,In conformità alla norma EN,1176-1:2017,1,1,,120 kg,1,1,Dimensioni delle parti,150x150x31 cm,1,1,,,1,1,Tempo di installazione,,1,1,Disponibilità di ricambi,YES,1,1,,,,

4327,simple,,JUMPOO 2222,1,1,visible,"<p class=""p1""><span class=""s1"">Salta fino al cielo!</span></p>
\n<p class=""p1""><span class=""s1"">Saltare sui trampolini è divertente, ma anche un ottimo allenamento! Ti permette di rafforzare i muscoli, migliorare la forma fisica e la coordinazione, e allo stesso tempo ridurre lo stress e la tensione, permettendoti di rilassarti.</span></p>
\n<p class=""p1""><span class=""s1"">I nostri trampolini sono disponibili in vari colori e grazie alla struttura speciale degli elementi, consentono qualsiasi combinazione di forme.</span></p>","<strong>Specifiche del materiale</strong>
\n<ul>
\n 	<li>Telaio realizzato in acciaio speciale zincato a caldo</li>
\n 	<li>per l'installazione al di sotto del livello del suolo,</li>
\n 	<li>La rete rinforzata del materiale della cintura presenta un elevato livello di sicurezza contro il vandalismo,</li>
\n</ul>
\n<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>Attrezzatura sportiva;</li>
\n 	<li>l'attrezzatura ha un certificato rilasciato da un ente accreditato o una dichiarazione di conformità;</li>
\n 	<li>nessun bordo tagliente o fessura che possa rappresentare un pericolo di incastrare la testa, le dita o qualsiasi altra parte del corpo;</li>
\n 	<li>l'immagine è solo a scopo illustrativo, l'aspetto effettivo dell'attrezzatura e il suo colore possono variare;</li>
\n</ul>",,,,,,,,0,0,,,,,0,,,,"Giochi per parchi, Giochi per parchi > Trampolini > Jumpoo, Giochi per parchi > Trampolini",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2023/12/559d-22221s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/2222c11s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/02f1-2222c21s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/1f58-2222c31s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/d411-2222c41s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/73fe-2222c121s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/2222c131s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,605 cm,1,1,Larghezza,380 cm,1,1,,,1,1,Età,4 - 15 years,1,1,Numero di Utenti,4 kids,1,1,Zona di Sicurezza,"58\,3 m2",1,1,Altezza di Caduta Libera,90 cm,1,1,In conformità alla norma EN,1176-1:2017,1,1,,120 kg,1,1,Dimensioni delle parti,150x150x31 cm,1,1,,,1,1,Tempo di installazione,2 ore,1,1,Disponibilità di ricambi,YES,1,1,,,,
